Date,Open,High,Low,Close,Adj Close,Volume,Dividends,IsNextUp
1/29/1993,43.96875,43.96875,43.75,43.9375,24.8406868,1003200,0,1
2/1/1993,43.96875,44.25,43.96875,44.25,25.01735687,480500,0,1
2/2/1993,44.21875,44.375,44.125,44.34375,25.07036591,201300,0,1
2/3/1993,44.40625,44.84375,44.375,44.8125,25.33537292,529400,0,1
2/4/1993,44.96875,45.09375,44.46875,45,25.4413662,531500,0,0
2/5/1993,44.96875,45.0625,44.71875,44.96875,25.42371559,492100,0,0
2/8/1993,44.96875,45.125,44.90625,44.96875,25.42371559,596100,0,0
2/9/1993,44.8125,44.8125,44.5625,44.65625,25.24702644,122100,0,1
2/10/1993,44.65625,44.75,44.53125,44.71875,25.28236389,379600,0,1
2/11/1993,44.78125,45.125,44.78125,44.9375,25.4060421,19500,0,0
2/12/1993,44.875,44.875,44.59375,44.59375,25.21169472,42500,0,0
2/16/1993,44.46875,44.46875,43.40625,43.46875,24.57567406,374800,0,0
2/17/1993,43.46875,43.53125,43.28125,43.4375,24.55800247,210900,0,0
2/18/1993,43.9375,43.9375,42.8125,43.40625,24.54033089,378100,0,1
2/19/1993,43.40625,43.5625,43.34375,43.5625,24.62866402,34900,0,1
2/22/1993,43.6875,43.78125,43.5625,43.71875,24.71701622,513600,0,0
2/23/1993,43.84375,43.875,43.46875,43.6875,24.69933701,373700,0,1
2/24/1993,43.71875,44.25,43.71875,44.25,25.01735687,26300,0,1
2/25/1993,44.21875,44.375,44.125,44.34375,25.07036591,44500,0,0
2/26/1993,44.4375,44.4375,44.1875,44.40625,25.10569,66200,0,0
3/1/1993,44.5625,44.5625,44.21875,44.28125,25.03502274,66500,0,1
3/2/1993,44.3125,44.9375,44.25,44.9375,25.4060421,182400,0,1
3/3/1993,45,45.15625,44.9375,45.125,25.512043,280100,0,0
3/4/1993,45.1875,45.1875,44.875,44.875,25.37070465,89500,0,0
3/5/1993,44.9375,45.125,44.71875,44.75,25.3000412,40000,0,1
3/8/1993,44.84375,45.75,44.84375,45.75,25.86540794,50800,0,0
3/9/1993,45.65625,45.6875,45.5,45.59375,25.77706909,169300,0,1
3/10/1993,45.59375,45.6875,45.40625,45.6875,25.83006287,194400,0,0
3/11/1993,45.71875,45.84375,45.5,45.5625,25.75939178,70900,0,0
3/12/1993,45.1875,45.21875,44.8125,45.09375,25.49438477,643600,0,1
3/15/1993,45.0625,45.3125,45.0625,45.3125,25.61806679,310800,0,0
3/16/1993,45.3125,45.4375,45.3125,45.3125,25.61806679,30800,0,0
3/17/1993,45.25,45.25,44.96875,45.03125,25.45905876,21800,0,1
3/18/1993,45.21875,45.5,45.21875,45.3125,25.61806679,59300,0,0
3/19/1993,45.28125,45.28125,45.03125,45.03125,25.5792923,66900,0.213,1
3/22/1993,44.59375,44.875,44.5625,44.78125,25.43727303,183400,0,0
3/23/1993,44.90625,44.9375,44.8125,44.875,25.49053192,55200,0,1
3/24/1993,44.8125,45.0625,44.59375,44.875,25.49053192,37200,0,1
3/25/1993,44.90625,45.25,44.84375,45.15625,25.65028954,110100,0,0
3/26/1993,45.125,45.15625,44.875,44.90625,25.5082798,101500,0,1
3/29/1993,44.9375,45.3125,44.9375,45.09375,25.61479759,87100,0,1
3/30/1993,45.15625,45.21875,45.09375,45.21875,25.68580437,56000,0,0
3/31/1993,45.34375,45.46875,45.1875,45.1875,25.66803741,111600,0,0
4/1/1993,45.25,45.25,44.9375,45.03125,25.5792923,129500,0,0
4/2/1993,44.65625,44.65625,44.09375,44.09375,25.04676056,59400,0,0
4/5/1993,44.4375,44.4375,44.1875,44.3125,25.17101479,172200,0,0
4/6/1993,44.40625,44.40625,44.0625,44.1875,25.09999466,129700,0,1
4/7/1993,44.25,44.34375,44.15625,44.34375,25.18877029,28000,0,0
4/8/1993,44.53125,44.53125,44.09375,44.28125,25.15325737,180800,0,1
4/12/1993,44.71875,44.9375,44.65625,44.90625,25.5082798,348500,0,1
4/13/1993,44.875,45.15625,44.84375,45,25.56152725,146100,0,0
4/14/1993,45.03125,45.0625,44.90625,44.9375,25.52603149,119600,0,1
4/15/1993,44.90625,45.03125,44.75,44.9375,25.52603149,148600,0,0
4/16/1993,44.96875,45.03125,44.875,44.9375,25.52603149,47900,0,0
4/19/1993,44.9375,45.0625,44.71875,44.75,25.41952705,157000,0,0
4/20/1993,44.6875,44.75,44.25,44.53125,25.29526901,279500,0,0
4/21/1993,44.625,44.625,44.375,44.5,25.27751732,67900,0,0
4/22/1993,44.3125,44.6875,43.9375,43.9375,24.95800209,97700,0,0
4/23/1993,43.84375,43.96875,43.6875,43.75,24.85149574,106000,0,0
4/26/1993,43.78125,43.9375,43.28125,43.40625,24.65622711,62600,0,1
4/27/1993,43.34375,43.875,43.34375,43.875,24.92248917,156800,0,0
4/28/1993,43.8125,43.90625,43.71875,43.78125,24.86924171,85900,0,1
4/29/1993,43.875,43.96875,43.625,43.96875,24.97575569,85000,0,0
4/30/1993,44.125,44.28125,44.03125,44.03125,25.01125526,88500,0,1
5/3/1993,44.09375,44.3125,43.90625,44.3125,25.17101479,80500,0,1
5/4/1993,44.40625,44.625,44.34375,44.46875,25.25976944,149100,0,1
5/5/1993,44.46875,44.75,44.46875,44.59375,25.33077049,109000,0,0
5/6/1993,44.53125,44.5625,44.40625,44.4375,25.24201775,54700,0,0
5/7/1993,44.46875,44.46875,44.28125,44.34375,25.18877029,68000,0,1
5/10/1993,44.40625,44.6875,44.40625,44.4375,25.24201775,113900,0,1
5/11/1993,44.4375,44.625,44.3125,44.625,25.34852791,42600,0,1
5/12/1993,44.4375,44.59375,44.4375,44.5625,25.31300354,31000,0,0
5/13/1993,44.375,44.375,44,44.03125,25.01125526,129100,0,0
5/14/1993,44.03125,44.15625,43.96875,44,24.99350548,63500,0,1
5/17/1993,44.125,44.15625,43.9375,44.15625,25.08224297,34000,0,0
5/18/1993,44.1875,44.21875,43.96875,44.125,25.06451035,105200,0,1
5/19/1993,44.125,45.03125,43.84375,45.03125,25.5792923,50200,0,1
5/20/1993,45.03125,45.15625,44.9375,45.15625,25.65028954,98200,0,0
5/21/1993,45.1875,45.25,44.71875,44.75,25.41952705,221400,0,1
5/24/1993,44.84375,45.09375,44.84375,44.9375,25.52603149,30500,0,0
5/25/1993,45.125,45.125,45.03125,45.03125,25.5792923,191800,0,1
5/26/1993,45.15625,45.625,45.125,45.59375,25.89881134,102400,0,0
5/27/1993,45.65625,45.65625,45.375,45.4375,25.81005287,53800,0,0
5/28/1993,45.40625,45.40625,45,45.21875,25.68580437,79100,0,1
6/1/1993,45.375,45.8125,45.3125,45.65625,25.93430901,28300,0,1
6/2/1993,45.53125,45.75,45.34375,45.59375,25.89881134,20300,0,0
6/3/1993,45.5,45.5,45.34375,45.4375,25.81005287,21600,0,0
6/4/1993,45.3125,45.3125,45.09375,45.28125,25.72129631,32000,0,0
6/7/1993,45.375,45.375,45.125,45.125,25.63253212,121400,0,0
6/8/1993,45,45,44.71875,44.71875,25.40176773,104500,0,0
6/9/1993,44.875,45.0625,44.8125,44.875,25.49053192,43300,0,1
6/10/1993,44.84375,44.9375,44.75,44.90625,25.5082798,17900,0,1
6/11/1993,45.0625,45.15625,44.90625,45.09375,25.61479759,647400,0,0
6/14/1993,45.15625,45.1875,45.03125,45.03125,25.5792923,64200,0,0
6/15/1993,45.09375,45.125,44.9375,44.9375,25.52603149,142400,0,1
6/16/1993,44.9375,45.03125,44.8125,45.03125,25.5792923,330900,0,1
6/17/1993,45.125,45.1875,45.03125,45.1875,25.66803741,37400,0,0
6/18/1993,44.84375,44.84375,44.5,44.5,25.45666122,58500,0.318,0
6/21/1993,44.625,44.625,44.53125,44.59375,25.51029205,29300,0,0
6/22/1993,44.65625,44.65625,44.5625,44.625,25.52817917,137500,0,0
6/23/1993,44.625,44.625,44.21875,44.21875,25.29576683,227600,0,1
6/24/1993,44.34375,44.8125,44.34375,44.8125,25.6354332,243700,0,0
6/25/1993,44.78125,44.90625,44.75,44.78125,25.61755371,44800,0,1
6/28/1993,45,45.28125,44.9375,45.28125,25.90357971,439900,0,0
6/29/1993,45.21875,45.21875,45,45.0625,25.77845955,207500,0,0
6/30/1993,45.125,45.21875,45,45.0625,25.77845955,437600,0,0
7/1/1993,45.125,45.125,44.875,44.9375,25.70694351,605700,0,0
7/2/1993,44.78125,44.8125,44.53125,44.6875,25.56392097,285400,0,0
7/6/1993,44.625,44.75,44.15625,44.21875,25.29576683,246400,0,1
7/7/1993,44.1875,44.40625,44.1875,44.34375,25.36728859,343700,0,1
7/8/1993,44.375,44.9375,44.3125,44.84375,25.65330887,248200,0,1
7/9/1993,44.84375,44.96875,44.75,44.96875,25.72482109,378200,0,1
7/12/1993,44.90625,44.96875,44.84375,44.9375,25.70694351,373700,0,0
7/13/1993,44.96875,45.09375,44.65625,44.90625,25.68906021,389600,0,1
7/14/1993,44.9375,45.1875,44.90625,45.0625,25.77845955,617300,0,0
7/15/1993,45.03125,45.03125,44.78125,44.875,25.67118073,443800,0,0
7/16/1993,44.90625,44.9375,44.6875,44.75,25.59968948,216400,0,0
7/19/1993,44.75,44.75,44.59375,44.71875,25.58179092,188200,0,1
7/20/1993,44.6875,44.84375,44.46875,44.84375,25.65330887,68500,0,1
7/21/1993,44.78125,44.8125,44.65625,44.8125,25.6354332,142700,0,0
7/22/1993,44.75,44.8125,44.5,44.5,25.45666122,632400,0,1
7/23/1993,44.59375,44.71875,44.5625,44.71875,25.58179092,286200,0,1
7/26/1993,44.84375,45.0625,44.84375,44.96875,25.72482109,121300,0,0
7/27/1993,45,45.03125,44.78125,44.9375,25.70694351,92800,0,0
7/28/1993,44.84375,44.9375,44.78125,44.84375,25.65330887,30800,0,1
7/29/1993,44.9375,45.21875,44.875,45.09375,25.7963295,331000,0,0
7/30/1993,45.09375,45.09375,44.78125,44.84375,25.65330887,75300,0,1
8/2/1993,44.90625,45.125,44.90625,44.96875,25.72482109,41300,0,0
8/3/1993,45.0625,45.1875,44.84375,45,25.74268532,81600,0,0
8/4/1993,45,45.09375,44.875,45,25.74268532,434000,0,0
